,0,1,accuracy,macro avg,weighted avg
precision,0.7650166852057843,0.7081081081081081,0.7372657975350858,0.7365623966569461,0.7385144861256738
recall,0.7336,0.741471623068686,0.7372657975350858,0.737535811534343,0.7372657975350858
f1-score,0.7489790362101824,0.7244059183978478,0.7372657975350858,0.7366924773040151,0.7375353893383985
support,7500.0,6537.0,0.7372657975350858,14037.0,14037.0
