,0,1,accuracy,macro avg,weighted avg
precision,0.7569642681366276,0.7300455767208134,0.7446569779867493,0.7435049224287205,0.7444282928010731
recall,0.769,0.7167278568150528,0.7446569779867493,0.7428639284075265,0.7446569779867493
f1-score,0.7629346693784413,0.7233254211775604,0.7446569779867493,0.7431300452780009,0.7444887296841222
support,10000.0,8716.0,0.7446569779867493,18716.0,18716.0
